sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
all,4096,9,256<c<=512,14,8192<c<=16384,270490164794,3.936149948189268,0.9980012524615829
all,4096,9,256<c<=512,15,16384<c<=32768,124510997508,1.8118734807358123,0.9739225407276447
all,4096,9,256<c<=512,16,32768<c<=65536,28852037745,0.4198524074308807,0.6229316074951905
all,4096,9,256<c<=512,17,65536<c<=131072,-32738921762,-0.4764140141487587,-0.9323368650963562
all,4096,9,256<c<=512,18,131072<c<=262144,-157126248,-0.0022864878410473466,-0.06219209778247542
all,4096,9,256<c<=512,19,262144<c<=524288,374873958,0.005455134058138356,0.6116670501891811
all,4096,9,256<c<=512,20,524288<c<=1048576,-2054757,-2.9900649678893387e-05,-0.1554858343656848
all,4096,10,512<c<=1024,0,c=1,12277636961897,178.66313227418868,0.9262932638760117
all,4096,10,512<c<=1024,1,1<c<=2,-6438325047360,-93.68996030185372,-0.9267952844516368
all,4096,10,512<c<=1024,2,2<c<=4,-4418332238781,-64.29519618950144,-0.927109132012235
all,4096,10,512<c<=1024,3,4<c<=8,-2444241885643,-35.56840071750048,-0.9276205552203461
all,4096,10,512<c<=1024,4,8<c<=16,1047108355363,15.237432022157009,0.928528870428695
all,4096,10,512<c<=1024,5,16<c<=32,-1920853664021,-27.952099684931454,-0.9289747118942517
all,4096,10,512<c<=1024,6,32<c<=64,1275772935124,18.56493960256921,0.9297160627329367
all,4096,10,512<c<=1024,7,64<c<=128,-277365204880,-4.036194948712364,-0.9274300474334631
all,4096,10,512<c<=1024,8,128<c<=256,107565882379,1.5652896018436877,0.9494415808937704
all,4096,10,512<c<=1024,9,256<c<=512,-142519450551,-2.0739309628115734,-0.8717400105518427
all,4096,10,512<c<=1024,10,512<c<=1024,174477685256,2.538984485086985,1.0
all,4096,10,512<c<=1024,11,1024<c<=2048,468262759096,6.814119974966161,0.9700789013564052
all,4096,10,512<c<=1024,12,2048<c<=4096,483116113589,7.030264730405179,0.8228517445649842
all,4096,10,512<c<=1024,13,4096<c<=8192,160852101310,2.3407061425677966,0.5203212785494113
all,4096,10,512<c<=1024,14,8192<c<=16384,-256099890697,-3.7267438994167605,-0.8853933789165377
