sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
high_lambda_16,4096,6,32<c<=64,17,65536<c<=131072,265772633245,3.8675008290010737,0.9024691467483829
high_lambda_16,4096,6,32<c<=64,18,131072<c<=262144,723073061,0.010522097887587734,0.034125754869745784
high_lambda_16,4096,6,32<c<=64,19,262144<c<=524288,-2968198297,-0.043192969998926856,-0.5774791989831692
high_lambda_16,4096,6,32<c<=64,20,524288<c<=1048576,15751770,0.00022921842173673213,0.14212593700444617
high_lambda_16,4096,7,64<c<=128,0,c=1,-22786643734746,-331.58930796702043,-0.9999731170852485
high_lambda_16,4096,7,64<c<=128,1,1<c<=2,11942740907212,173.78975327609805,0.9999806430442086
high_lambda_16,4096,7,64<c<=128,2,2<c<=4,8192974674883,119.22347293705388,0.9999841098949481
high_lambda_16,4096,7,64<c<=128,3,4<c<=8,4529885137126,65.9185045096965,0.9999885382580356
high_lambda_16,4096,7,64<c<=128,4,8<c<=16,-1938355612293,-28.20678655251686,-0.9999890422795092
high_lambda_16,4096,7,64<c<=128,5,16<c<=32,3554650575874,51.72697384658386,0.9999890895509698
high_lambda_16,4096,7,64<c<=128,6,32<c<=64,-2357190712708,-34.30163942842046,-0.9999833362172605
high_lambda_16,4096,7,64<c<=128,7,64<c<=128,515699518915,7.504415682560648,1.0
high_lambda_16,4096,7,64<c<=128,8,128<c<=256,-191610107003,-2.7882940340059577,-0.9979031104379661
high_lambda_16,4096,7,64<c<=128,9,256<c<=512,281900762549,4.102195999425021,0.991615079527258
high_lambda_16,4096,7,64<c<=128,10,512<c<=1024,-272519854791,-3.965685824965476,-0.9297630171913314
high_lambda_16,4096,7,64<c<=128,11,1024<c<=2048,-784182863761,-11.411362556988024,-0.955731701172171
high_lambda_16,4096,7,64<c<=128,12,2048<c<=4096,-969240981677,-14.104312601222773,-0.9655323868280196
high_lambda_16,4096,7,64<c<=128,13,4096<c<=8192,-394366344435,-5.738785613139044,-0.7420214250467055
high_lambda_16,4096,7,64<c<=128,14,8192<c<=16384,494612328704,7.1975566782057285,0.9946342192572678
high_lambda_16,4096,7,64<c<=128,15,16384<c<=32768,222909436261,3.243759220073116,0.9503071783720234
