N,C,R_C_X_N,V_C,V_C_over_N3,V_C_over_V_1,V_C_over_V_total
2048,4194304,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
2048,8388608,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
2048,16777216,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
4096,1,-1078361,1006911594138831,14652.492160367998,1.0,1469036.1437727776
4096,2,-513936,228036481645273,3318.3675498770463,0.22647120459498032,332694.38507378567
4096,4,-127056,13630655977088,198.35215028561652,0.013537093083872695,19886.479021825482
4096,8,86580,6851642911630,99.70452682508039,0.006804612193873804,9996.221257157593
4096,16,-4620,10205727847,0.14851288647332694,1.0135674180739302e-05,14.889671713010571
4096,32,162415,23695045786993,344.80829762459325,0.02353239939327382,34569.94525841582
4096,64,51754,2506261615317,36.47090656620276,0.002489058254871422,3656.516540362113
4096,128,75937,5284352637535,76.8974516182061,0.0052480800383021544,7709.619261678289
4096,256,67189,4112893127009,59.85047212756763,0.004084661603809005,6000.515531076311
4096,512,81166,5834756922372,84.90688811248401,0.00579470626451791,8512.632945123349
4096,1024,71179,4142079706794,60.27519276240491,0.004113647842476723,6043.097363351212
4096,2048,43260,1079194183017,15.704342266210006,0.0010717864302078966,1574.4930043805996
4096,4096,3633,299747633842,4.361902157572331,0.00029769012054962137,437.31754673146906
4096,8192,-39326,1006723831978,14.64975986132049,0.0009998135266671632,1468.7622077069907
4096,16384,-15331,106699457658,1.5526814627519343,0.00010596705637226826,155.6694358600695
4096,32768,-2326,3528442421,0.0513455949985655,3.5042226562280554e-06,5.147829737826463
4096,65536,4622,9801796893,0.1426349174726056,9.734515870167393e-06,14.300355655405614
4096,131072,708,798197512,0.011615302530117333,7.927185630260466e-07,1.1645322209248812
4096,262144,206,659037013,0.009590250745532103,6.54513282830601e-07,0.9615036690575275
4096,524288,332,685810303,0.009979853391996585,6.811027969009976e-07,1.000564626272295
4096,1048576,329,685423295,0.009974221684387885,6.807184453826988e-07,1.0
4096,2097152,329,685423295,0.009974221684387885,6.807184453826988e-07,1.0
4096,4194304,329,685423295,0.009974221684387885,6.807184453826988e-07,1.0
4096,8388608,329,685423295,0.009974221684387885,6.807184453826988e-07,1.0
4096,16777216,329,685423295,0.009974221684387885,6.807184453826988e-07,1.0
